date,cum_units
2019-11-11,640.6200000000002
2019-11-12,641.2300000000002
2019-11-16,643.0300000000002
2019-11-17,640.0300000000002
2019-11-22,642.6400000000002
2019-11-23,659.8500000000003
2019-11-24,653.7400000000002
2019-11-25,653.9800000000002
2019-11-26,655.2700000000002
2019-11-27,655.0200000000002
2019-11-29,658.0000000000002
2019-11-30,658.9000000000002
2019-12-01,659.1800000000002
2019-12-02,658.2700000000002
2019-12-03,663.4500000000002
2019-12-04,663.5200000000002
2019-12-06,660.6800000000002
2019-12-07,658.8300000000002
2019-12-08,661.8000000000002
2019-12-09,662.1900000000002
2019-12-10,662.3600000000001
2019-12-11,661.3600000000001
2019-12-13,656.8200000000002
2019-12-14,674.7800000000002
2019-12-15,675.8300000000002
2019-12-16,674.0300000000002
2019-12-17,670.0300000000002
2019-12-18,670.1200000000002
2019-12-19,670.4800000000002
2019-12-20,680.5600000000003
2019-12-21,682.3900000000003
2019-12-22,690.9000000000003
2019-12-23,692.5100000000003
2019-12-26,690.8000000000003
2019-12-27,690.4000000000003
2019-12-28,687.3700000000003
2019-12-29,683.6100000000004
2019-12-30,684.4300000000004
2020-01-01,689.5900000000004
2020-01-02,690.2200000000004
2020-01-03,692.1300000000003
2020-01-04,692.6300000000003
2020-01-05,700.2000000000004
2020-01-06,699.4900000000004
2020-01-07,699.6800000000004
2020-01-10,695.5400000000004
2020-01-11,687.7900000000004
2020-01-12,685.2400000000005
2020-01-13,685.1700000000004
2020-01-14,684.0700000000004
2020-01-15,687.0000000000003
2020-01-16,685.6300000000003
2020-01-17,682.0600000000003
2020-01-18,689.6100000000002
2020-01-19,695.2000000000003
2020-01-20,693.2000000000003
2020-01-21,687.7500000000002
2020-01-22,682.7800000000002
2020-01-23,681.8900000000002
2020-01-24,684.1000000000003
2020-01-25,691.1300000000002
2020-01-26,704.0000000000002
2020-01-27,702.5300000000002
2020-01-28,707.0500000000002
2020-01-29,705.3100000000002
2020-01-31,700.7700000000002
2020-02-01,686.6200000000002
2020-02-02,691.3500000000003
2020-02-03,690.3500000000003
2020-02-04,687.5900000000003
2020-02-05,692.7800000000003
2020-02-07,692.5800000000003
2020-02-08,707.3000000000003
2020-02-09,697.6400000000003
2020-02-10,696.6400000000003
2020-02-11,694.2500000000003
2020-02-12,695.7000000000004
2020-02-13,694.7000000000004
2020-02-14,707.1500000000004
2020-02-15,697.7000000000004
2020-02-16,694.8200000000004
2020-02-17,694.3900000000004
2020-02-18,693.9400000000004
2020-02-19,696.1400000000004
2020-02-21,684.9400000000004
2020-02-22,684.6500000000004
2020-02-23,672.3200000000004
2020-02-24,672.8100000000004
2020-02-25,678.7800000000004
2020-02-26,680.6700000000004
